toxic,obscene,threats,time
0.0011803787,0.00013185275,1.3336176999999999e-07,1474010103.0
0.013478728,0.00063489133,8.055549e-06,1525144947.0
0.02402875,0.00036948921999999996,1.6966707e-05,1524287602.0
0.0022950198,0.00010417418,6.3968884e-07,1465216057.0
0.11257304,0.049939323,4.4122702e-05,1522083226.0
0.012708037,0.00037578307,2.9210522999999997e-05,1522179859.0
0.004572093,0.00012875162,5.539759e-07,1506228370.0
0.25360516,0.23948456,5.1586692000000003e-05,1516379079.0
0.0026098507999999998,0.00039941297,4.223669e-07,1465929856.0
0.00025509080000000003,3.238203e-05,1.5153859e-08,1476300849.0
0.0019325082000000002,0.00019900204,9.801513e-07,1514174437.0
0.0018175789000000001,0.00026946142000000003,2.2465395e-07,1520339459.0
0.023808565,0.0016507666000000001,4.0552903000000004e-05,1504974391.0
0.0011849642999999998,0.00011759311000000002,4.478159e-07,1520908364.0
0.028709758,0.0017132635,6.0840775e-05,1501209093.0
0.10835895,0.008665500999999999,3.130635e-05,1506130960.0
0.010509328,0.0009064777000000001,1.8139364e-05,1493908482.0
0.0044856113,0.00034125405,4.4416575000000003e-07,1516159134.0
0.21075,0.0838093,0.0013981569,1512553075.0
0.00046036096,7.912921e-05,5.8879667e-08,1521019234.0
0.059673063,0.03039702,6.297177e-06,1519898801.0
0.83654857,0.740776,0.0015690888,1524596599.0
0.0026508597999999996,0.00051126035,2.0184854999999997e-06,1525323048.0
0.0010182817,9.7276585e-05,8.632205e-08,1486385781.0
0.009604163,0.0014176725,7.0489824e-07,1515735509.0
0.008961275,0.0006000615,1.1906599e-06,1521811628.0
0.0064889182999999994,0.0005019983,3.4598904e-06,1513895812.0
0.0026018622,0.00016732822,4.848106400000001e-07,1466742987.0
0.0101841735,0.00069693726,1.546084e-05,1470968811.0
0.0012953231,0.00016420659,6.0176933e-07,1484186288.0
0.0019587146,0.00014250453000000003,3.3248466e-07,1469471030.0
0.0006612268,0.00012299974,1.6302906e-07,1474573683.0
0.020077178,0.0008355814,1.2472913000000001e-05,1501740631.0
0.006825225,0.00039029142,3.7003301e-06,1477700215.0
0.002366285,0.00021194737999999998,1.7741618e-07,1524252694.0
0.25624895,0.13261202,0.0004540354,1512103649.0
0.0038187634000000003,0.00031708076,2.1912622e-06,1486919789.0
0.0017992218,0.0002226387,8.320024000000001e-07,1504592077.0
0.005330213,0.0009302429400000001,3.5219809999999993e-07,1501284188.0
0.003343239,0.00031252136000000004,3.5621823999999996e-06,1512746360.0
0.0016453916,0.00016722933,4.8069114e-07,1473848938.0
0.0009566078,7.828747e-05,9.267083999999999e-08,1497719807.0
0.037057112999999996,0.0011025928,4.825899999999999e-05,1514051962.0
0.10707075,0.008753374,0.00010668136,1491796276.0
0.0023487423999999997,0.00028699334,7.074507e-07,1466261183.0
0.0012942035,0.00018471427999999999,6.196376600000001e-07,1481962751.0
0.002911997,0.00022597327,4.5945976000000004e-07,1468703725.0
